Departamento,Sexo,RangoEtario,NivelEducativo,IngresoPromedio,IngresoPromedioUSD,IngresoDesvEstandar,IngresoDesvEstandarUSD,HorasTrabajoPromedio,TasaActividadPonderada,TasaEmpleoPonderada,Poblacion
Gran Mendoza,Mujer,45-49,Terciario no universitario,50289.60200041675,407.2032550641033,31561.69047623749,255.56024677115377,12.755157324442592,0.8260054177953741,0.8260054177953741,1007.0
Gran Mendoza,Mujer,45-49,Universitario de grado,54729.219143576825,443.1515720127678,21738.56519576708,176.0207708159278,14.01007556675063,0.6542821158690176,0.6542821158690176,1018.0
Gran Mendoza,Mujer,45-49,"Posgrado (especialización, maestría o doctorado)",71704.49112640347,580.6031670154127,69845.99314068616,565.5546003294426,27.506066642520825,0.9124411445128576,0.8844621513944223,621.0
Gran Mendoza,Mujer,50-54,Primario,20457.12124077927,165.644706403071,21787.642451767668,176.41815750419164,11.269339890296957,0.5521089464724797,0.5521089464724797,332.0
Gran Mendoza,Mujer,50-54,Secundario,39594.28571428572,320.6015037593985,31716.259398045066,256.8118169882191,7.309714285714286,0.6091428571428571,0.6091428571428571,472.0
Gran Mendoza,Mujer,50-54,Terciario no universitario,38225.43031649084,309.51765438454123,30549.693729184528,247.3659411270002,22.907134925041643,0.9321210438645195,0.9321210438645195,610.0
Gran Mendoza,Mujer,50-54,Universitario de grado,28960.55625790139,234.49843123806792,22430.098450625144,181.6202303694344,18.18331226295828,0.8819216182048041,0.8819216182048041,570.0
Gran Mendoza,Mujer,50-54,"Posgrado (especialización, maestría o doctorado)",100280.96962065168,811.9916568473819,72787.31771548664,589.3709936476652,29.977176137257988,1.0,1.0,418.0
Gran Mendoza,Mujer,55-59,Primario,19650.32711026009,159.1119604069643,15186.209042486036,122.96525540474524,27.53981171214297,0.7124621030796234,0.7124621030796234,400.0
Gran Mendoza,Mujer,55-59,Secundario,35506.01779173208,287.49811977110994,22992.27227578128,186.1722451480265,18.784406070120355,0.8861852433281004,0.7129774986917844,323.0
Gran Mendoza,Mujer,55-59,Terciario no universitario,40201.42382534409,325.5176018246485,25007.34607205895,202.48863216242063,30.72330327479829,0.9229552286030692,0.8264515108368929,349.0
Gran Mendoza,Mujer,55-59,Universitario de grado,87706.3621533442,710.1729729015725,20205.17293557791,163.604639154477,31.30831973898858,1.0,1.0,361.0
Gran Mendoza,Mujer,55-59,"Posgrado (especialización, maestría o doctorado)",79588.75585632483,644.443367257691,67539.94499511122,546.8821457094026,13.448204060385216,0.7293076522644456,0.625021690091966,236.0
Gran Mendoza,Mujer,60-64,Primario,51843.47826086957,419.7852490758669,29272.16822109998,237.02160502914964,7.899917965545529,0.3683347005742411,0.3683347005742411,374.0
Gran Mendoza,Mujer,60-64,Secundario,36734.563617245,297.4458592489474,30536.372208379416,247.25807456177665,9.782334384858045,0.4437434279705573,0.4437434279705573,274.0
Gran Mendoza,Mujer,60-64,Terciario no universitario,44476.79500520291,360.1359919449628,24449.67505574556,197.973077374458,4.856191467221644,0.1987513007284079,0.1987513007284079,259.0
Gran Mendoza,Mujer,60-64,Universitario de grado,37386.49350649351,302.72464377727533,49275.14295949357,398.9890118177617,0.0,0.0,0.0,212.0
Gran Mendoza,Mujer,60-64,"Posgrado (especialización, maestría o doctorado)",83783.87458006719,678.4119399195724,42315.67349970256,342.6370323862556,3.804964539007092,0.2612915266890631,0.2612915266890631,177.0
Gran Mendoza,Mujer,65+,Primario,49128.74698995267,397.80361935184345,22983.17752632021,186.09860345198555,2.3465913808851617,0.0919206177862658,0.0750643527360292,1358.0
Gran Mendoza,Mujer,65+,Secundario,55592.0177383592,450.1377954523013,20966.574593602687,169.76983476601367,4.591278640059128,0.1164607749973603,0.1164607749973603,707.0
Gran Mendoza,Mujer,65+,Terciario no universitario,48058.455536122696,389.1372917904672,18190.07137143748,147.2880272990889,2.7219830485672003,0.0883896138840306,0.0883896138840306,592.0
Gran Mendoza,Mujer,65+,Universitario de grado,73094.85190409026,591.8611490209738,46870.208677884,379.5158597399514,0.0,0.0,0.0,549.0
Gran Mendoza,Mujer,65+,"Posgrado (especialización, maestría o doctorado)",86421.10050022737,699.7659959532581,70032.05566966187,567.0611795114322,6.38030273500942,0.2161372052231533,0.2161372052231533,395.0
